DOE-0029937,1773,"2354 / ADO7EDBEK8FFLWG6"
DOE-0029937,32176,"33753 / 8DOKEF3E3PPY65P5"
DOE-08191,2083,"2664 / C9EYCTTC8ZRF9XQJ","2665 / D9E2CUSCFX8R2ZGK"
DOE-08191,10802,"11889 / RDONEKMEE36PTCQ7",11890
DOE-00808,2585,"3167 / LDOZEA5ELBBVE55T",3168
DOE-00808,2586,3169,3170
DOE-00844,2624,"3208 / MDO2EB8E3MCAJKGF",3209
DOE-00844,2625,3210,3211
DOE-08164,2626,"3212 / RDOMEWZEJDCN88G3",3213,3214
DOE-08164,10766,11827,11828,11829
DOE-08164,10768,11831,11832,11833
DOE-01019,2826,"3414 / MDO5EHTE6X3XUM8Y",3415
DOE-01019,2827,3416,3417
DOE-01042,2852,"3442 / MDO5EV5EWFX55JQQ",3443
DOE-01042,2853,3444,3445
DOE-10494,3314,"3906 / TDO3ERREFE9L9QEC",3907
DOE-10494,13327,14749,14750
DOE-01555,3397,"3990 / MDOFEFWEK6FTTNSR",3991
DOE-01555,3398,3992,3993
DOE-02098,3984,"4579 / MDORE72EHSWQXEAL",4580
DOE-02098,3985,4581,4582
DOE-02812,4749,"5346 / NDO7EXLELSA65X69",5347
DOE-02812,4750,5348,5349
DOE-03044,4860,"5459 / NDOCEFEEPH22RH2F",5460
DOE-03044,5032,5649,5650
DOE-06155,4898,"5498 / QDOBEXFE3Y5FPKPR",5499
DOE-06155,5092,5718,5719
DOE-02942,4902,"5503 / NDOAEKREU3MQCTP4",5504
DOE-02942,4903,5505,5506
DOE-02943,4904,"5507 / NDOAENDEWKYPEJ99",5508
DOE-02943,4906,5510,5511
DOE-02954,4917,"5522 / NDOAETGELTN4LLL2",5523
DOE-02954,4918,5524,5525
DOE-02968,4935,"5542 / NDOAEZMESQ2KS4YR",5543
DOE-02968,4936,5544,5545
DOE-02969,4937,"5546 / NDOAEZSENT362TZW",5547
DOE-02969,4938,5548,5549
DOE-02975,4942,"5553 / NDOBE6VE22XC3CJ5",5554
DOE-02975,4943,5555,5556
DOE-02977,4946,"5559 / NDOBE7TE7Z6ZQFTU",5560
DOE-02977,4947,5561,5562
DOE-03034,5018,"5633 / NDOCEBSEMC7XPRMK",5634
